day_key,start_time,hour,day,week,month,year,weekdate
2018111809,2018-11-18 09:00:00,9,18,46,11,2018,6
2018111810,2018-11-18 10:00:00,10,18,46,11,2018,6
2018111811,2018-11-18 11:00:00,11,18,46,11,2018,6
2018111812,2018-11-18 12:00:00,12,18,46,11,2018,6
2018111813,2018-11-18 13:00:00,13,18,46,11,2018,6
2018111814,2018-11-18 14:00:00,14,18,46,11,2018,6
2018111815,2018-11-18 15:00:00,15,18,46,11,2018,6
2018111816,2018-11-18 16:00:00,16,18,46,11,2018,6
2018111817,2018-11-18 17:00:00,17,18,46,11,2018,6
2018111818,2018-11-18 18:00:00,18,18,46,11,2018,6
2018111819,2018-11-18 19:00:00,19,18,46,11,2018,6
2018111820,2018-11-18 20:00:00,20,18,46,11,2018,6
2018111821,2018-11-18 21:00:00,21,18,46,11,2018,6
2018111822,2018-11-18 22:00:00,22,18,46,11,2018,6
2018111823,2018-11-18 23:00:00,23,18,46,11,2018,6
2018111900,2018-11-19 00:00:00,0,19,47,11,2018,0
2018111901,2018-11-19 01:00:00,1,19,47,11,2018,0
2018111902,2018-11-19 02:00:00,2,19,47,11,2018,0
2018111903,2018-11-19 03:00:00,3,19,47,11,2018,0
2018111904,2018-11-19 04:00:00,4,19,47,11,2018,0
2018111905,2018-11-19 05:00:00,5,19,47,11,2018,0
2018111906,2018-11-19 06:00:00,6,19,47,11,2018,0
2018111907,2018-11-19 07:00:00,7,19,47,11,2018,0
2018111908,2018-11-19 08:00:00,8,19,47,11,2018,0
2018111909,2018-11-19 09:00:00,9,19,47,11,2018,0
2018111910,2018-11-19 10:00:00,10,19,47,11,2018,0
2018111911,2018-11-19 11:00:00,11,19,47,11,2018,0
2018111912,2018-11-19 12:00:00,12,19,47,11,2018,0
2018111913,2018-11-19 13:00:00,13,19,47,11,2018,0
